nohup: 忽略輸入
/rui/fs/大廳/plugins/科技專案/tools/tech-helper-bot/.venv/lib/python3.10/site-packages/google/api_core/_python_version_support.py:263: FutureWarning: You are using a Python version (3.10.12) which Google will stop supporting in new releases of google.api_core once it reaches its end of life (2026-10-04). Please upgrade to the latest Python version, or at least Python 3.11, to continue receiving updates for google.api_core past that date.
  warnings.warn(message, FutureWarning)
/rui/fs/大廳/plugins/科技專案/tools/tech-helper-bot/bot.py:22: FutureWarning: 

All support for the `google.generativeai` package has ended. It will no longer be receiving 
updates or bug fixes. Please switch to the `google.genai` package as soon as possible.
See README for more details:

https://github.com/google-gemini/deprecated-generative-ai-python/blob/main/README.md

  import google.generativeai as genai
2026-04-13 14:59:28,022 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-13 16:29:18,193 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-13 16:42:16,799 [INFO] 知識庫載入完成：759 個段落，來自 57 個檔案
2026-04-13 19:50:31,832 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-13 22:43:05,521 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-13 23:20:43,219 [INFO] 127.0.0.1 [13/Apr/2026:23:20:42 +0800] "POST /ask HTTP/1.1" 200 305 "-" "Java-http-client/21.0.10"
2026-04-14 00:36:44,706 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-14 02:01:14,099 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-14 03:39:09,980 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-14 04:15:01,825 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-14 07:20:40,661 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-14 10:27:27,491 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-14 14:17:57,545 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-14 17:18:05,873 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-14 18:44:19,662 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-14 19:04:16,405 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-14 19:25:36,682 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-14 21:46:02,418 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-14 23:21:48,857 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-15 01:23:54,930 [INFO] 127.0.0.1 [15/Apr/2026:01:23:53 +0800] "POST /ask HTTP/1.1" 200 502 "-" "Java-http-client/21.0.10"
2026-04-15 01:45:10,765 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-15 03:22:11,339 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-15 03:40:53,468 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
2026-04-15 04:41:14,420 [INFO] Shard ID None has successfully RESUMED session a2764c625feff5ff0e01db216cb27939.
